epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.99149,1.41502,3.69819,1.06314,0.0084,0.30197,0.05389,0.03487,1.37701,3.82085,0.97296,0.0002375,0.0002375,0.0002375
2,9.76199,1.34107,2.17893,1.01308,0.01083,0.40024,0.1461,0.09032,1.2976,3.60315,0.94655,0.000477848,0.000477848,0.000477848
3,13.5594,1.24712,1.344,1.02117,0.01276,0.45571,0.29763,0.19319,1.26942,3.42223,0.96896,0.000708295,0.000708295,0.000708295
4,17.3672,1.21128,1.1063,1.00856,0.16957,0.72044,0.5145,0.28439,1.32076,3.07311,1.01391,0.000928842,0.000928842,0.000928842
5,21.0353,1.19904,1.00618,1.01374,0.90304,0.24982,0.89449,0.4788,1.37237,2.21312,1.0784,0.00113949,0.00113949,0.00113949
6,24.7162,1.16018,0.92252,0.99781,0.90143,0.87607,0.91473,0.52505,1.35298,1.54159,1.08189,0.00112625,0.00112625,0.00112625
7,28.2901,1.1529,0.88435,0.98596,0.92737,0.94337,0.96187,0.56148,1.30825,0.96554,1.06019,0.0011015,0.0011015,0.0011015
8,32.0632,1.13188,0.87398,0.99003,0.91337,0.91375,0.93287,0.53031,1.30913,0.90687,1.05962,0.00107675,0.00107675,0.00107675
9,35.6721,1.14178,0.82753,0.98342,0.89785,0.87296,0.89787,0.48704,1.38985,0.92585,1.08585,0.001052,0.001052,0.001052
10,39.2428,1.09262,0.8059,0.97069,0.96006,0.92765,0.96751,0.58073,1.25053,0.7047,1.04308,0.00102725,0.00102725,0.00102725
11,42.8627,1.08888,0.77882,0.9837,0.92979,0.94881,0.95809,0.58388,1.22725,0.70971,1.04313,0.0010025,0.0010025,0.0010025
12,46.5196,1.06795,0.75201,0.98678,0.93537,0.96162,0.97005,0.57422,1.2835,0.68067,1.04329,0.00097775,0.00097775,0.00097775
13,50.0829,1.11066,0.747,0.98886,0.95755,0.94375,0.96896,0.5836,1.27474,0.69001,1.04895,0.000953,0.000953,0.000953
14,53.6672,1.09923,0.72724,0.98097,0.92758,0.93349,0.95426,0.56821,1.30527,0.6535,1.06739,0.00092825,0.00092825,0.00092825
15,57.4746,1.0881,0.71542,0.97795,0.94916,0.95817,0.96963,0.58295,1.27294,0.63527,1.06668,0.0009035,0.0009035,0.0009035
16,61.034,1.11852,0.73191,0.9852,0.93549,0.93637,0.96345,0.59254,1.24298,0.62574,1.04618,0.00087875,0.00087875,0.00087875
17,64.5398,1.11686,0.7077,0.98147,0.92173,0.92425,0.94582,0.58188,1.27309,0.61711,1.05136,0.000854,0.000854,0.000854
